n,p,k,temperature,humidity,ph,rainfall,label,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,humidity_lag_5,humidity_lag_6,humidity_lag_7,humidity_lag_8,humidity_lag_9,humidity_lag_10,humidity_lag_11,humidity_lag_12,humidity_lag_13,humidity_lag_14,humidity_roll_mean_3,humidity_roll_std_7,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_7,rainfall_lag_8,rainfall_lag_9,rainfall_lag_10,rainfall_lag_11,rainfall_lag_12,rainfall_lag_13,rainfall_lag_14,rainfall_roll_mean_3,rainfall_roll_std_7,hum_target_7d,rain_target_7d
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,,81.96712710999999,0.8621607420660835,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,,245.3024330333333,17.75747107045935,81.42963320999999,232.10296492857145
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,,81.25166754666667,1.0016878656443629,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,,266.37818666666664,22.73593663860547,81.20361780142856,232.13441268571432
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,82.00274423,81.46477866666667,0.9895493570606774,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,202.9355362,239.93234306666668,31.949047879679974,81.55408698857143,235.2483191857143
60,48,39,24.28209415,80.30025587,7.0422990689999985,231.0863347,rice,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,80.31964408,81.20252349666667,1.0772381154706985,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,226.6555374,226.43358879999997,33.85639935462813,81.65031357142857,232.7154273857143
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,82.3207629,81.00699271333333,0.9234397877451752,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,263.9642476,208.6502148,33.84261730829537,81.63460276714285,226.49433248571432
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,80.15836264,81.25082570666666,0.8532944799804419,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,242.8640342,239.1095171333333,36.41708283365523,81.76524150428573,229.0367511857143
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.60487287,81.16893541333333,0.9239745301340742,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,262.7173405,238.0009220333333,37.34000585546271,81.81261160142857,233.6723039857143
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,83.37011772,81.13295039,0.9923160612857309,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,251.0549998,235.82381610000002,36.83835149026248,81.87781627714286,230.82372568571432
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,82.63941394,81.39936117666667,1.3730972767057772,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,271.3248604,240.70495473333338,38.545315610147476,81.88784796285714,241.50457274285714
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.89408619,81.41822264,1.3828197667640203,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,241.9741949,233.78371730000003,38.500809118076944,82.08507784999999,242.7469653714286
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,83.53521629999999,82.39316729333333,1.5266270469696668,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,230.4462359,236.06015043333335,37.23388785690302,82.03798109428571,240.5502552857143
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,83.03322691,81.52191355666668,1.4539208935029266,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,221.2091958,210.0792938666667,38.155849563472756,82.36160458714286,246.13513225714289
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.41753846,82.25645729333333,1.4401021664916975,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,264.6148697,225.94933,32.99935634987942,82.21855051571428,242.71086972857142
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.45061596,81.66162928333334,1.3500240602976923,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,250.0832336,223.50726336666665,31.846121634577866,82.53468826000001,238.0925606714286
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,80.88684822,81.51164579333333,1.2901220692353121,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,284.4364567,238.05652816666668,33.40835485856464,82.19110487142856,237.9615769142857
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,82.05687182,81.96685936666667,1.4015103457609384,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,185.2773389,250.80687220000004,28.10506799718107,82.66791581142857,234.08568185714287
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,80.66385045,81.70430437666666,1.3899978678286484,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,209.5869708,262.87530093333334,21.420516015295934,82.33225057285713,227.40944385714286
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,80.30025587,83.02892187333335,1.6643656536952713,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,231.0863347,257.23436033333337,20.98345795598478,82.40841849428571,238.02669872857146
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,82.7883708,81.89563146333334,1.7052144068551607,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,276.65524589999995,232.77452960000002,24.99463513629197,82.15252540714286,239.89064788571432
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,80.41817957,83.36188941666666,2.030879552324735,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,206.2611855,236.75396886666667,27.31445469089286,82.52694612571429,253.9354433714286
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,80.1923008,81.97306550333333,2.1473659331519928,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,224.55501690000003,223.42304019999997,31.694678014532688,82.66864637,258.5581051285714
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,83.58760316,82.67062917999999,2.0151200211566915,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,291.2986618000001,232.32190740000001,31.620116018984202,82.72982339857143,255.4547616142857
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,80.47476396,81.56902669666667,1.9175556601406876,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,185.4974732,231.73524306666664,31.460845053931365,82.67921779857144,252.13591311428573
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,83.11713476,82.7528234,1.8539298841186507,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,231.3843163,242.74986256666668,29.887295937195205,82.39307570142857,253.20555587142857
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,80.97384195,82.55656727,1.6711068495693595,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,213.3560921,232.30708776666665,33.344566706225486,82.91254158142858,256.9570147142857
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.67839517,82.40269658333334,1.5916009695854842,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,233.1075816,232.92648050000003,34.23226486655288,82.80032471142856,254.14076174285714
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,81.33265073,82.15931180666666,1.2156279281121871,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,224.0581164,250.29888960000002,36.67155041367793,82.45370237142856,237.7518294
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,80.52389148,82.42735512666667,0.9316397158095558,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,257.0038865,285.3170390666667,37.69914574077834,82.56097041714285,229.16920731428573
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,84.04403589,83.27782755666668,1.0382237202428546,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,271.35861370000003,280.22852233333333,35.42890192780134,82.92165999714287,226.93021055714286
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,80.54498576,82.91605534333333,0.9783259962291897,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,260.2634026,268.05150843333337,35.164916707016985,82.51897176428572,227.06078355714286
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,84.49774397,83.10812397,0.9159264857930419,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,240.0810647,238.55095863333335,38.55568191414089,82.55733427285713,234.61583785714285
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,80.64416466,81.91356904333334,1.3291650060670275,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,197.9791215,219.81780616666666,36.71271220006453,82.30726285714286,223.37936891428572
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,84.94375962,82.82903901,1.477164799910714,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,272.2017204,236.43173773333334,40.1681204176561,82.01880089714284,215.24300060000002
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,80.33127223,82.44189460333332,1.4857091137247986,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,200.0882787,254.9768697333333,38.51078503213374,82.26163932571428,216.8737878
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.73685569,82.56881735666666,1.7104129360910358,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,224.67572310000003,249.25834396666667,40.87394169113089,81.89300336142857,221.21774495714286
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,81.63895217,82.45749484,1.8235113535660117,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,270.4417274,215.39030506666668,42.42823090305239,81.78503761285715,228.85532024285718
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.88266234,83.19917101,1.9545596865958645,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,233.1321372,204.56022233333337,41.630704716166456,82.36845456428571,239.30098279999999
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,82.1480873,83.26041922,2.0941084126338096,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,193.3473987,213.605185,41.569777250174084,82.80510894,234.10935139999998
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,80.41363018,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.17734011,81.90508470666667,2.0452627982561276,253.7202781,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,272.29990560000005,232.52661076666666,40.80779733798264,82.71814102428571,240.97668852857143
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,83.06310136,80.41363018,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,83.15250801,81.39544568333334,1.8177783636865834,219.9048349,253.7202781,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,285.2493645,228.14644056666666,29.539219720855257,82.97182472428571,238.60133971428573
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,80.3477562,83.06310136,80.41363018,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,82.95221726,81.27482924666667,1.961272375173105,208.5810155,219.9048349,253.7202781,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,298.40184710000005,227.40204283333333,23.143874497269728,82.68800466999998,250.43959515714283
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,82.22572988,80.3477562,83.06310136,80.41363018,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,83.7287574,81.87886248000001,1.8475520818155242,195.0948311,208.5810155,219.9048349,253.7202781,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,257.0343554,207.8602271666667,20.83626701051763,82.73212528714285,252.98065651428573
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,81.89918197,82.22572988,80.3477562,83.06310136,80.41363018,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.06719137,81.49088935,1.5674459614608736,227.3637009,195.0948311,208.5810155,219.9048349,253.7202781,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,248.7183228,210.34651583333334,19.08808716184016,82.68669858428572,247.14555757142858
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,83.83625819,81.89918197,82.22572988,80.3477562,83.06310136,80.41363018,80.70960551,84.59201843,84.47963372,80.52586088,82.36698992,84.81360127,80.14509262,83.52842314,82.65372334666667,1.3632853590339835,286.5083725,227.3637009,195.0948311,208.5810155,219.9048349,253.7202781,210.8142087,233.0453455,196.95600080000003,183.6793207,265.5355937,298.5601175,200.834898,209.9001977,236.32230149999998,31.360209516764137,82.54097450142856,246.51860401428573
